Rank,Player,REC,Week,Year,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G, FPTS,FPTS/G,ROST,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
34,Harrison Bryant,16,12,2020,23,164,10.3,35,2,3,0,0,0,2,11,38.4,3.5,0.2%,85,5.3,85,5.3,79,4.9,23,1.4,2,8.1%,17,1,4,8,1,1,0,0,35
35,Jordan Reed,19,12,2020,30,168,8.8,26,1,2,0,0,0,0,6,38.3,6.4,19.0%,106,5.6,106,5.6,62,3.3,33,1.7,2,8.0%,20,1,4,8,1,0,0,0,26
36,Zach Ertz,24,12,2020,45,178,7.4,30,2,1,0,0,0,0,6,37.8,6.3,93.8%,142,5.9,142,5.9,36,1.5,14,0.6,0,11.1%,29,3,5,6,1,1,0,0,30
37,Dan Arnold,18,12,2020,25,225,12.5,41,5,1,0,0,0,0,11,37.5,3.4,0.2%,136,7.6,136,7.6,89,4.9,10,0.6,0,6.8%,19,0,3,9,3,1,1,0,41
38,Drew Sample,26,12,2020,37,252,9.7,23,1,0,0,0,0,1,11,36.2,3.3,0.1%,136,5.2,136,5.2,116,4.5,40,1.5,3,8.6%,29,3,9,11,1,0,0,0,23
39,Tyler Kroft,12,12,2020,16,119,9.9,38,2,3,0,0,0,0,9,35.9,4.0,0.1%,75,6.3,75,6.3,44,3.7,10,0.8,0,4.2%,14,1,5,5,1,1,0,0,38
40,Jack Doyle,10,12,2020,18,114,11.4,28,1,3,0,0,0,1,9,32.4,3.6,2.0%,76,7.6,76,7.6,38,3.8,15,1.5,1,4.7%,10,0,5,6,1,0,0,0,28
41,O.J. Howard,11,12,2020,19,146,13.3,33,3,2,0,0,0,0,4,32.1,8.0,2.3%,129,11.7,129,11.7,17,1.5,6,0.5,1,4.1%,12,1,3,6,2,1,0,0,33
42,Nick Boyle,14,12,2020,17,113,8.1,21,1,2,0,0,0,0,9,30.3,3.4,0.0%,72,5.1,72,5.1,41,2.9,15,1.1,0,5.9%,15,0,3,4,1,0,0,0,21
43,Adam Shaheen,7,12,2020,12,84,12.0,43,3,3,0,0,0,0,11,29.9,2.7,0.0%,44,6.3,44,6.3,40,5.7,12,1.7,1,3.5%,7,0,5,2,1,1,1,0,43
44,Will Dissly,14,12,2020,17,163,11.6,28,2,1,0,0,0,0,11,29.3,2.7,2.3%,60,4.3,60,4.3,103,7.4,18,1.3,0,4.5%,14,0,3,8,2,0,0,0,28
45,Jacob Hollister,16,12,2020,24,129,8.1,19,0,1,0,0,0,0,11,28.9,2.6,0.0%,59,3.7,59,3.7,70,4.4,27,1.7,0,6.4%,18,2,6,5,0,0,0,0,19
46,Durham Smythe,12,12,2020,14,104,8.7,19,0,2,0,0,0,0,10,28.4,2.8,0.1%,41,3.4,41,3.4,63,5.3,11,0.9,0,4.1%,13,1,4,4,0,0,0,0,19
47,Marcedes Lewis,7,12,2020,14,56,8.0,18,0,3,0,0,0,0,10,27.1,2.7,0.1%,28,4.0,28,4.0,28,4.0,8,1.1,0,3.8%,11,4,4,2,0,0,0,0,18
48,James O'Shaughnessy,18,12,2020,25,173,9.6,26,2,0,0,0,0,0,10,26.3,2.6,0.0%,118,6.6,118,6.6,55,3.1,20,1.1,0,6.4%,18,0,1,7,2,0,0,0,26
49,Ross Dwelley,11,12,2020,16,147,13.4,36,4,1,0,0,0,0,11,26.2,2.4,0.1%,78,7.1,78,7.1,69,6.3,25,2.3,1,4.3%,11,0,3,7,3,1,0,0,36
50,David Njoku,8,12,2020,14,102,12.8,28,2,2,0,0,0,0,8,26.2,3.3,66.7%,72,9.0,72,9.0,30,3.8,18,2.3,1,4.9%,10,1,2,4,2,0,0,0,28
51,Albert Okwuegbunam,11,12,2020,15,121,11.0,27,1,1,0,0,0,0,4,23.6,5.9,25.4%,48,4.4,48,4.4,73,6.6,26,2.4,1,4.1%,11,0,4,4,1,0,0,0,27
52,Jace Sternberger,12,12,2020,15,114,9.5,27,2,1,0,0,0,0,11,23.4,2.1,0.0%,48,4.0,48,4.0,66,5.5,8,0.7,0,4.1%,13,1,3,5,2,0,0,0,27
53,Ryan Izzo,12,12,2020,19,193,16.1,50,6,0,0,0,0,1,11,23.3,2.1,0.0%,125,10.4,125,10.4,68,5.7,17,1.4,1,6.3%,14,2,1,8,3,1,1,1,50
54,Chris Herndon IV,16,12,2020,28,133,8.3,26,1,1,0,0,0,2,11,23.3,2.1,0.0%,61,3.8,61,3.8,72,4.5,18,1.1,1,8.4%,21,4,2,4,1,0,0,0,26
55,Jason Witten,11,12,2020,11,57,5.2,15,0,2,0,0,0,0,11,23.2,2.1,0.0%,46,4.2,46,4.2,11,1.0,2,0.2,0,3.3%,11,0,3,2,0,0,0,0,15
56,Jesse James,11,12,2020,16,107,9.7,31,3,1,0,0,0,0,11,22.2,2.0,0.0%,49,4.5,49,4.5,58,5.3,22,2.0,1,4.2%,11,0,5,4,2,1,0,0,31
57,Ian Thomas,13,12,2020,20,97,7.5,21,1,1,0,0,0,0,12,22.2,1.9,0.1%,47,3.6,47,3.6,50,3.8,10,0.8,0,5.1%,14,1,2,3,1,0,0,0,21
58,Adam Trautman,8,12,2020,9,100,12.5,29,1,1,0,0,0,0,10,20.0,2.0,0.2%,46,5.8,46,5.8,54,6.8,15,1.9,0,2.6%,9,0,2,4,1,0,0,0,29
59,Dawson Knox,9,12,2020,17,111,12.3,36,2,1,0,0,0,1,7,19.6,2.8,78.8%,15,1.7,15,1.7,96,10.7,26,2.9,0,4.5%,13,3,4,5,1,1,0,0,36
60,Cole Kmet,8,12,2020,14,94,11.8,38,2,1,0,0,0,0,11,19.4,1.8,39.8%,70,8.8,70,8.8,24,3.0,20,2.5,0,3.2%,8,0,3,3,1,1,0,0,38
61,Donald Parham Jr.,3,12,2020,8,54,18.0,22,1,2,0,0,0,0,8,18.9,2.4,0.2%,46,15.3,46,15.3,8,2.7,6,2.0,0,1.9%,3,0,5,3,1,0,0,0,22
62,C.J. Uzomah,8,12,2020,11,87,10.9,23,1,1,0,0,0,0,2,18.7,9.4,0.8%,57,7.1,57,7.1,30,3.8,6,0.8,0,2.6%,9,1,2,3,1,0,0,0,23
63,Darrell Daniels,6,12,2020,8,83,13.8,31,3,1,0,0,0,0,9,17.3,1.9,0.0%,35,5.8,35,5.8,48,8.0,3,0.5,1,2.2%,7,1,0,3,2,1,0,0,31
64,Pharaoh Brown,7,12,2020,9,75,10.7,22,1,1,0,0,0,0,9,17.0,1.9,0.1%,39,5.6,39,5.6,36,5.1,24,3.4,1,2.6%,7,0,2,3,1,0,0,0,22
65,Kaden Smith,14,12,2020,17,87,6.2,13,0,0,0,0,0,0,10,15.7,1.6,0.0%,17,1.2,17,1.2,70,5.0,23,1.6,1,4.8%,14,0,3,4,0,0,0,0,13
66,Foster Moreau,4,12,2020,5,64,16.0,31,3,1,0,0,0,0,11,14.4,1.3,0.2%,45,11.3,45,11.3,19,4.8,6,1.5,0,1.5%,4,0,1,2,2,1,0,0,31
67,Josh Hill,7,12,2020,9,45,6.4,16,0,1,0,0,0,0,10,14.0,1.4,0.0%,9,1.3,9,1.3,36,5.1,11,1.6,1,2.6%,7,0,1,2,0,0,0,0,16
68,Maxx Williams,5,12,2020,7,43,8.6,25,1,1,0,0,0,0,5,12.8,2.6,0.1%,27,5.4,27,5.4,16,3.2,7,1.4,0,1.9%,5,0,2,1,1,0,0,0,25
69,Virgil Green,3,12,2020,6,50,16.7,26,1,1,0,0,0,0,6,12.5,2.1,0.0%,27,9.0,27,9.0,23,7.7,6,2.0,0,1.4%,4,1,0,3,1,0,0,0,26
70,Blake Bell,7,12,2020,11,80,11.4,24,1,0,0,0,0,0,11,11.5,1.0,0.0%,56,8.0,56,8.0,24,3.4,10,1.4,0,2.5%,7,0,2,6,1,0,0,0,24
71,Nick Vannett,8,12,2020,14,68,8.5,19,0,0,0,0,0,0,10,10.8,1.1,0.0%,18,2.3,18,2.3,50,6.3,11,1.4,0,3.8%,8,0,2,3,0,0,0,0,19
72,Vance McDonald,9,12,2020,11,61,6.8,15,0,0,0,0,0,0,9,10.6,1.2,0.0%,10,1.1,10,1.1,51,5.7,15,1.7,2,2.5%,9,0,1,2,0,0,0,0,15
73,MyCole Pruitt,3,12,2020,4,17,5.7,10,0,1,0,0,0,0,6,9.2,1.5,0.0%,12,4.0,12,4.0,5,1.7,4,1.3,0,1.2%,3,0,2,1,0,0,0,0,10
74,Ryan Griffin,7,12,2020,10,55,7.9,23,1,0,0,0,0,0,11,9.0,0.8,0.1%,31,4.4,31,4.4,24,3.4,13,1.9,0,3.0%,8,1,0,1,1,0,0,0,23
75,Chris Manhertz,6,12,2020,8,52,8.7,17,0,0,0,0,0,0,12,8.2,0.7,0.0%,19,3.2,19,3.2,33,5.5,16,2.7,1,2.1%,7,1,0,2,0,0,0,0,17
76,Demetrius Harris,7,12,2020,14,45,6.4,9,0,0,0,0,0,0,11,8.0,0.7,0.0%,20,2.9,20,2.9,25,3.6,6,0.9,0,3.2%,9,2,3,0,0,0,0,0,9
77,Geoff Swaim,6,12,2020,8,49,8.2,12,0,0,0,0,0,0,6,7.9,1.3,0.1%,27,4.5,27,4.5,22,3.7,4,0.7,0,2.5%,7,1,0,2,0,0,0,0,12
79,Johnny Mundt,4,12,2020,4,53,13.3,34,2,0,0,0,0,0,11,7.3,0.7,0.1%,8,2.0,8,2.0,45,11.3,29,7.3,2,1.0%,4,0,1,1,1,1,0,0,34
83,Nick Keizer,5,12,2020,9,48,9.6,22,1,0,0,0,0,1,11,5.3,0.5,0.0%,13,2.6,13,2.6,35,7.0,5,1.0,0,2.1%,6,1,0,2,1,0,0,0,22
84,Cethan Carter,4,12,2020,5,32,8.0,24,1,0,0,0,0,0,10,5.2,0.5,0.0%,26,6.5,26,6.5,6,1.5,5,1.3,0,1.2%,5,1,1,1,1,0,0,0,24
85,Levine Toilolo,3,12,2020,4,22,7.3,13,0,0,0,0,0,0,11,3.7,0.3,0.0%,10,3.3,10,3.3,12,4.0,7,2.3,0,1.1%,3,0,0,1,0,0,0,0,13
87,Luke Stocker,3,12,2020,6,20,6.7,12,0,0,0,0,0,0,11,3.5,0.3,0.0%,5,1.7,5,1.7,15,5.0,3,1.0,0,1.5%,4,1,1,1,0,0,0,0,12
88,Ben Ellefson,1,12,2020,4,10,10.0,10,0,0,0,0,0,0,7,3.5,0.5,0.0%,7,7.0,7,7.0,3,3.0,2,2.0,0,1.0%,2,1,0,1,0,0,0,0,10
89,Tyler Conklin,3,12,2020,4,16,5.3,9,0,0,0,0,0,0,11,3.1,0.3,39.6%,12,4.0,12,4.0,4,1.3,1,0.3,0,1.3%,4,1,0,0,0,0,0,0,9
90,Tanner Hudson,2,12,2020,6,21,10.5,12,0,0,0,0,0,0,9,3.1,0.3,0.6%,13,6.5,13,6.5,8,4.0,4,2.0,0,1.3%,2,0,0,1,0,0,0,0,12
92,Deon Yelder,3,12,2020,3,12,4.0,5,0,0,0,0,0,0,9,2.7,0.3,0.0%,2,0.7,2,0.7,10,3.3,1,0.3,0,0.7%,3,0,0,0,0,0,0,0,5
93,Troy Fumagalli,2,12,2020,5,12,6.0,8,0,0,0,0,0,0,3,2.2,0.7,0.0%,11,5.5,11,5.5,1,0.5,1,0.5,0,1.4%,2,0,2,0,0,0,0,0,8
97,Jake Butt,2,12,2020,4,5,2.5,5,0,0,0,0,0,0,5,1.5,0.3,0.1%,3,1.5,3,1.5,2,1.0,0,0.0,0,1.1%,3,1,1,0,0,0,0,0,5
1,Travis Kelce,66,11,2020,90,896,13.6,45,19,7,0,0,0,1,10,162.8,16.3,100.0%,516,7.8,516,7.8,380,5.8,168,2.5,6,24.1%,70,2,14,44,14,3,2,0,45
2,Darren Waller,60,11,2020,83,519,8.7,26,4,5,0,0,0,1,10,109.9,11.0,99.8%,229,3.8,229,3.8,290,4.8,107,1.8,4,27.7%,64,4,15,18,4,0,0,0,26
3,Mark Andrews,38,11,2020,60,454,11.9,31,8,6,0,0,0,0,10,100.4,10.0,100.0%,350,9.2,350,9.2,104,2.7,22,0.6,0,22.2%,43,4,10,22,6,2,0,0,31
4,Jonnu Smith,30,11,2020,49,338,11.3,63,8,7,1,1,1,0,10,96.9,9.7,0.9%,147,4.9,147,4.9,191,6.4,39,1.3,1,16.1%,34,3,13,12,4,2,1,1,63
5,T.J. Hockenson,40,11,2020,60,441,11.0,35,5,5,0,0,0,0,10,96.1,9.6,94.0%,217,5.4,217,5.4,224,5.6,54,1.4,3,17.5%,44,4,11,21,4,1,0,0,35
6,Robert Tonyan,32,11,2020,37,391,12.2,45,10,6,0,0,0,0,10,91.1,9.1,26.2%,240,7.5,240,7.5,151,4.7,14,0.4,0,11.0%,32,0,5,15,7,2,1,0,45
7,Hunter Henry,41,11,2020,66,435,10.6,33,6,3,0,0,0,0,10,82.0,8.2,41.9%,266,6.5,266,6.5,169,4.1,63,1.5,2,17.9%,43,2,9,19,5,1,0,0,33
8,George Kittle,37,11,2020,49,474,12.8,44,7,2,2,17,0,0,6,79.6,13.3,98.9%,254,6.9,254,6.9,220,5.9,65,1.8,1,14.4%,41,4,3,24,4,2,1,0,44
9,Rob Gronkowski,31,11,2020,55,399,12.9,44,9,4,0,0,0,0,11,79.4,7.2,1.7%,238,7.7,238,7.7,161,5.2,65,2.1,1,13.1%,33,2,9,15,6,2,1,0,44
10,Jimmy Graham,35,11,2020,57,302,8.6,29,2,5,0,0,0,0,10,77.7,7.8,0.0%,170,4.9,170,4.9,132,3.8,29,0.8,1,14.7%,36,1,13,14,2,0,0,0,29
11,Hayden Hurst,37,11,2020,56,411,11.1,42,8,3,0,0,0,0,10,77.6,7.8,21.3%,200,5.4,200,5.4,211,5.7,19,0.5,1,14.9%,39,2,6,16,5,2,1,0,42
12,Dalton Schultz,39,11,2020,61,408,10.5,28,3,3,0,0,0,1,10,76.3,7.6,86.8%,219,5.6,219,5.6,189,4.8,64,1.6,3,14.9%,43,3,8,18,3,0,0,0,28
13,Noah Fant,39,11,2020,58,422,10.8,32,8,2,0,0,0,0,9,75.7,8.4,22.8%,167,4.3,167,4.3,255,6.5,104,2.7,4,16.3%,42,3,6,15,6,2,0,0,32
14,Eric Ebron,35,11,2020,56,359,10.3,24,4,4,0,0,0,1,10,75.4,7.5,0.0%,238,6.8,238,6.8,121,3.5,37,1.1,0,14.7%,38,3,8,14,4,0,0,0,24
15,Evan Engram,38,11,2020,67,347,9.1,30,4,1,5,21,1,0,10,67.8,6.8,24.1%,179,4.7,179,4.7,168,4.4,63,1.7,2,21.0%,46,7,10,13,3,1,0,0,30
16,Mike Gesicki,28,11,2020,46,414,14.8,70,8,2,0,0,0,0,10,67.4,6.7,39.7%,316,11.3,316,11.3,98,3.5,35,1.3,0,15.0%,32,2,9,17,5,1,1,1,70
17,Tyler Higbee,27,11,2020,35,315,11.7,39,8,3,1,1,0,0,9,65.1,7.2,84.2%,180,6.7,180,6.7,135,5.0,39,1.4,1,9.8%,28,1,3,10,5,3,0,0,39
18,Logan Thomas,30,11,2020,56,308,10.3,29,3,3,1,2,0,0,10,64.0,6.4,28.9%,199,6.6,199,6.6,109,3.6,45,1.5,2,16.1%,35,4,8,12,3,0,0,0,29
19,Jared Cook,22,11,2020,35,285,13.0,46,7,4,0,0,0,1,9,61.5,6.8,0.0%,227,10.3,227,10.3,58,2.6,16,0.7,0,10.6%,24,2,9,12,3,2,2,0,46
20,Darren Fells,19,11,2020,24,275,14.5,44,5,3,0,0,0,0,10,55.0,5.5,0.0%,123,6.5,123,6.5,152,8.0,47,2.5,4,7.3%,19,0,3,14,2,2,1,0,44
21,Mo Alie-Cox,22,11,2020,28,309,14.0,45,8,2,0,0,0,1,9,51.9,5.8,3.5%,185,8.4,185,8.4,124,5.6,20,0.9,0,8.2%,23,1,5,13,5,2,1,0,45
22,Trey Burton,20,11,2020,32,171,8.6,20,1,2,2,3,2,0,7,51.4,7.3,0.0%,122,6.1,122,6.1,49,2.5,14,0.7,1,9.4%,21,1,6,8,1,0,0,0,20
23,Gerald Everett,26,11,2020,35,282,10.8,40,4,1,1,2,1,1,10,51.4,5.1,65.2%,127,4.9,127,4.9,155,6.0,45,1.7,5,9.8%,30,4,3,14,2,1,1,0,40
24,Dallas Goedert,23,11,2020,31,263,11.4,34,6,2,0,0,0,0,6,49.8,8.3,95.6%,146,6.3,146,6.3,117,5.1,37,1.6,3,8.5%,24,1,3,12,4,2,0,0,34
25,Anthony Firkser,29,11,2020,39,282,9.7,45,5,1,0,0,0,0,10,48.7,4.9,0.0%,186,6.4,186,6.4,96,3.3,34,1.2,2,12.8%,31,1,5,11,3,1,1,0,45
26,Richard Rodgers,21,11,2020,25,292,13.9,30,5,1,0,0,0,0,10,45.7,4.6,0.0%,204,9.7,204,9.7,88,4.2,33,1.6,1,6.8%,21,0,2,13,4,1,0,0,30
27,Jordan Akins,22,11,2020,26,275,12.5,26,6,1,0,0,0,0,7,44.5,6.4,0.0%,147,6.7,147,6.7,128,5.8,46,2.1,2,8.0%,23,1,3,12,6,0,0,0,26
28,Austin Hooper,26,11,2020,40,249,9.6,36,3,1,0,0,0,0,8,43.9,5.5,17.2%,127,4.9,127,4.9,122,4.7,25,1.0,0,15.5%,27,1,3,11,2,1,0,0,36
29,Kyle Rudolph,21,11,2020,27,266,12.7,22,4,1,0,0,0,1,10,41.1,4.1,1.3%,119,5.7,119,5.7,147,7.0,37,1.8,2,10.3%,22,0,4,13,4,0,0,0,22
30,Greg Olsen,23,11,2020,35,224,9.7,22,3,1,0,0,0,0,10,39.9,4.0,7.0%,178,7.7,178,7.7,46,2.0,13,0.6,0,10.1%,25,2,8,11,3,0,0,0,22
31,Irv Smith Jr.,15,11,2020,23,182,12.1,36,4,2,0,0,0,0,9,39.7,4.4,42.1%,122,8.1,122,8.1,60,4.0,24,1.6,1,8.8%,15,0,4,9,3,1,0,0,36
32,Harrison Bryant,15,11,2020,21,151,10.1,35,2,3,0,0,0,1,10,38.6,3.9,0.2%,77,5.1,77,5.1,74,4.9,23,1.5,2,8.1%,16,1,3,7,1,1,0,0,35
33,Zach Ertz,24,11,2020,45,178,7.4,30,2,1,0,0,0,0,6,37.8,6.3,93.8%,142,5.9,142,5.9,36,1.5,14,0.6,0,12.3%,29,3,5,6,1,1,0,0,30
34,Tyler Kroft,12,11,2020,16,119,9.9,38,2,3,0,0,0,0,9,35.9,4.0,0.1%,75,6.3,75,6.3,44,3.7,10,0.8,0,4.5%,14,1,5,5,1,1,0,0,38
35,Jordan Reed,17,11,2020,24,150,8.8,26,1,2,0,0,0,0,5,35.5,7.1,19.0%,92,5.4,92,5.4,58,3.4,29,1.7,2,7.1%,17,0,4,7,1,0,0,0,26
36,Dan Arnold,17,11,2020,22,208,12.2,41,5,1,0,0,0,0,10,35.3,3.5,0.2%,122,7.2,122,7.2,86,5.1,10,0.6,0,6.6%,18,0,2,8,3,1,1,0,41
37,Cameron Brate,16,11,2020,19,147,9.2,25,2,2,0,0,0,0,11,34.7,3.2,2.8%,111,6.9,111,6.9,36,2.3,15,0.9,0,4.5%,16,0,3,5,2,0,0,0,25
38,Tyler Eifert,19,11,2020,37,188,9.9,19,0,1,0,0,0,0,9,34.3,3.8,0.0%,116,6.1,116,6.1,72,3.8,26,1.4,0,10.3%,20,0,7,8,0,0,0,0,19
39,Jack Doyle,10,11,2020,17,114,11.4,28,1,3,0,0,0,1,8,32.4,4.1,2.0%,76,7.6,76,7.6,38,3.8,15,1.5,1,5.0%,10,0,5,6,1,0,0,0,28
40,Drew Sample,22,11,2020,32,212,9.6,23,1,0,0,0,0,0,10,32.2,3.2,0.1%,107,4.9,107,4.9,105,4.8,40,1.8,2,7.9%,25,3,9,9,1,0,0,0,23
41,O.J. Howard,11,11,2020,19,146,13.3,33,3,2,0,0,0,0,4,32.1,8.0,2.3%,129,11.7,129,11.7,17,1.5,6,0.5,1,4.5%,12,1,3,6,2,1,0,0,33
42,Nick Boyle,14,11,2020,17,113,8.1,21,1,2,0,0,0,0,9,30.3,3.4,0.0%,72,5.1,72,5.1,41,2.9,15,1.1,0,6.3%,15,0,3,4,1,0,0,0,21
43,Will Dissly,14,11,2020,17,163,11.6,28,2,1,0,0,0,0,10,29.3,2.9,2.3%,60,4.3,60,4.3,103,7.4,18,1.3,0,4.9%,14,0,3,8,2,0,0,0,28
44,Jacob Hollister,14,11,2020,19,118,8.4,19,0,1,0,0,0,0,10,26.8,2.7,0.0%,53,3.8,53,3.8,65,4.6,24,1.7,0,5.5%,16,2,5,5,0,0,0,0,19
45,David Njoku,8,11,2020,14,102,12.8,28,2,2,0,0,0,0,7,26.2,3.7,66.7%,72,9.0,72,9.0,30,3.8,18,2.3,1,5.4%,10,1,2,4,2,0,0,0,28
46,Ross Dwelley,10,11,2020,14,144,14.4,36,4,1,0,0,0,0,10,25.4,2.5,0.1%,77,7.7,77,7.7,67,6.7,24,2.4,1,4.1%,10,0,3,7,3,1,0,0,36
47,Durham Smythe,9,11,2020,11,85,9.4,19,0,2,0,0,0,0,9,25.0,2.8,0.1%,26,2.9,26,2.9,59,6.6,11,1.2,0,3.6%,10,1,4,3,0,0,0,0,19
48,James O'Shaughnessy,16,11,2020,21,156,9.8,26,2,0,0,0,0,0,9,23.6,2.6,0.0%,108,6.8,108,6.8,48,3.0,20,1.3,0,5.8%,16,0,0,6,2,0,0,0,26
49,Albert Okwuegbunam,11,11,2020,15,121,11.0,27,1,1,0,0,0,0,4,23.6,5.9,25.4%,48,4.4,48,4.4,73,6.6,26,2.4,1,4.2%,11,0,4,4,1,0,0,0,27
50,Ryan Izzo,12,11,2020,19,193,16.1,50,6,0,0,0,0,1,10,23.3,2.3,0.0%,125,10.4,125,10.4,68,5.7,17,1.4,1,6.6%,14,2,1,8,3,1,1,1,50
51,Chris Herndon IV,16,11,2020,28,133,8.3,26,1,1,0,0,0,2,10,23.3,2.3,0.0%,61,3.8,61,3.8,72,4.5,18,1.1,1,9.2%,21,4,2,4,1,0,0,0,26
52,Jason Witten,11,11,2020,11,57,5.2,15,0,2,0,0,0,0,10,23.2,2.3,0.0%,46,4.2,46,4.2,11,1.0,2,0.2,0,3.7%,11,0,3,2,0,0,0,0,15
53,Adam Shaheen,6,11,2020,10,77,12.8,43,3,2,0,0,0,0,10,22.7,2.3,0.0%,38,6.3,38,6.3,39,6.5,11,1.8,1,3.3%,6,0,4,2,1,1,1,0,43
